[00:00] 我真的不知道為什麼我在路上遇到綠色和平
[01:21:42] 先开始写比较重要
[01:21:46] 对那他后来
[01:21:47] 像这边阿妹的话
[01:21:48] 就是
[01:21:50] 前面我觉得是这个界体发挥的一个
[01:21:52] 他下面2000多个赞然后这就是一个界体发挥的
[01:21:56] 最后就是
[01:21:58] 他借由这个
[01:21:59] 大家都会有兴趣的话题
[01:22:02] 跟他里面发生的事情
[01:22:04] 他在带到自己的这个观点
[01:22:06] 对
[01:22:07] 所以我觉得他在海军这方面的文章是很擅长去
[01:22:10] 去写的
[01:22:11] 我觉得这个是很厉害
[01:22:13] 他可以去参考我觉得下面有一篇可以往下看一下他讲他爸爸过
[01:22:17] 博士
[01:22:17] 这个这个我这个这个就很张力很强
[01:22:24] 他讲说
[01:22:25] 他爸走的那一天
[01:22:26] 发生的事情
[01:22:28] 这个很调
[01:22:29] 然后再往下看一下
[01:22:31] 这边4000多个人
[01:22:32] 这边功德很无量
[01:22:34] 很多很多就是
[01:22:36] 可能家里经历什么
[01:22:38] 重大离别的人看到这边都很有共感
[01:22:41] 然后都
[01:22:42] 感觉对他们很有起吧
[01:22:44] 所以我觉得这边
[01:22:46] 很不错
[01:22:47] 所以海军要学怎么学写生命故事的话可以去参考他写的东西
[01:22:52] 那他就是
[01:22:53] 我觉得就持续写啦因为就是
[01:22:55] 慢慢的就是会
[01:22:57] 宇宙或是什么
[01:22:58] 会找大天使加白猎吧
[01:23:01] 会找到
[01:23:01] 带你找到你的
[01:23:03] 你的变现模式
[01:23:05] 对好下一个
[01:23:10] 大镇大镇今天是不是有来
[01:23:12] 你是阿宝
[01:23:14] 大镇是另外一个也是做圣形理
[01:23:17] 大镇的话就是
[01:23:19] 我看他字节我讲一下
[01:23:27] 有没有上过课的你可以
[01:23:29] 讲一下他
[01:23:30] 他字节有没有什么
[01:23:32] 你这什么感受
[01:23:33] 威力你有什么想法吗分享一下
[01:23:38] 有个10秒钟
[01:23:39] 哈哈哈哈
[01:23:44] 是第一直觉
[01:23:46] 你看他字节感受
[01:23:48] 就没什么感受
[01:23:53] 对
[01:23:55] 你说光是看字节那个部分
[01:23:57] 跟大火天啊
[01:24:03] 说真的啦我就是没什么几说
[01:24:06] 对对因为
[01:24:08] 像我自己会比较建议就是说大头照要
[01:24:11] 要露出自己脸嘛
[01:24:13] 对
[01:24:13] 然后再就是
[01:24:15] 那个字节的部分的话
[01:24:18] 其实我自己个人的一个想法是
[01:24:21] 你的字节跟你的目标对象到底有没有什么关联性
[01:24:24] 这个是蛮重要的
[01:24:25] 是一眼就看出这个东西到底是可以帮他
[01:24:29] 可能解决什么问题或者是说
[01:24:31] 跟我什么关联性
[01:24:33] 等等之类的
[01:24:34] ok
[01:24:35] 那所以目前看起来的话好像是
[01:24:38] 他在讲自己的东西比较多
[01:24:40] 然后可是讲他的目标对象或者他想要去
[01:24:44] 讲什么样的一个重点好像是不是那么的明显啦
[01:24:48] 目前看起来是这样
[01:24:50] 谢谢谢谢威力
[01:24:53] 就是我觉得他的字节是
[01:24:55] 让人家觉得说算是
[01:24:57] 呃蛮
[01:24:59] 轻松的或是有生活感
[01:25:01] 但是就是好像在自己的服务的特色上面
[01:25:04] 比较看不出来
[01:25:05] 他的
[01:25:06] 他到底他的累积的专业度啊跟他的
[01:25:10] 服务的特色是什么
[01:25:11] 所以这一点是可以去调整的
[01:25:12] 那至于说
[01:25:13] 大头贴是不是一定要本人这个我觉得倒是
[01:25:16] 没有一定
[01:25:17] 像是温然跟
[01:25:19] 亨利昂跟宇宙先生他们也都不适用本人
[01:25:21] 然后他们也都进得不错
[01:25:23] 所以重点是说你用一些
[01:25:24] 不是本人的图片的话
[01:25:26] 他跟你的人色到底是不是可以很
[01:25:28] 明确的结合
[01:25:29] 或者他这个图片本身是不是有一个
[01:25:32] 特色在
[01:25:33] 我觉得这个就是也蛮重要的
[01:25:35] 然后往下看
[01:25:39] 对但是他他
[01:25:40] 我觉得他最近文章都写的蛮好的
[01:25:43] 所以他这边就是我觉得又有
[01:25:45] 烈点然后又
[01:25:47] 他的开场白也很实用
[01:25:50] 最后他其实我觉得也蛮正向的在讲这件事情
[01:25:53] 然后再往下看一下
[01:25:55] 所以其实他文章本身我觉得品质很不错
[01:25:58] 所以我觉得他就是他变现的流程
[01:26:00] 跟他字节在调一下
[01:26:02] 我觉得可能就会有非常好的效果
[01:26:08] 爱黎熊
[01:26:16] 好这个就是服务项目太多了
[01:26:18] 我是觉得在
[01:26:20] 字节上面不要写那么多服务项目
[01:26:22] 因为会让人家很混淆
[01:26:23] 你可以先
[01:26:24] 先写一个
[01:26:25] 然后等到他他追踪你以后你再去
[01:26:28] 很多文章慢慢去
[01:26:29] 去写你别的东西
[01:26:31] 这样子我觉得会比较顺
[01:26:33] 就你要是你去一个派对的时候你
[01:26:35] 认识的你就说我同时又说你是什么
[01:26:37] 银行的
[01:26:38] 理专然后又说你是那个
[01:26:40] 什么就职业赛车手又说你是
[01:26:43] 那个什么大天使加百烈的
[01:26:44] 这么带离人
[01:26:46] 那这样子现在就很混乱
[01:26:47] 就可以吃太多太多东西了
[01:26:49] 所以你就是建议先从一个点认识
[01:26:54] 然后这个
[01:26:56] 这个
[01:26:58] 好先讲一下上面那个好
[01:27:01] 我觉得那个icon过多
[01:27:03] 对而且
[01:27:04] 好像
[01:27:06] 因为他这个是想要写他的
[01:27:08] 他的服务啦
[01:27:09] 但我觉得
[01:27:10] 好像
[01:27:11] 我觉得比较没有用那个故事的方式去写
[01:27:14] 你往下累看
[01:27:16] 对这个
[01:27:18] 这个也还不错在往下
[01:27:22] 嗯
[01:27:23] 是
[01:27:26] 我觉得这个他的有一个小问题就是他
[01:27:28] 写东西还是很像是
[01:27:30] 确的gbt写的跟
[01:27:32] 就是感觉不到跟他自己个人的
[01:27:35] 连结连结度
[01:27:37] 所以就会这种
[01:27:38] 就是你可能会有时候
[01:27:41] 刚好命中的话就有点很高
[01:27:43] 可是
[01:27:43] 可能就是会感受不到跟他自己的
[01:27:46] 海军自己的观点自己的情感的连结度
[01:27:49] 这样子
[01:27:50] 好这个就是
[01:27:54] 好这个我讲一下好
[01:27:55] 因为这个
[01:27:56] 这个也是我工作榜就
[01:27:58] 一直来上课的
[01:28:00] 但是他就是
[01:28:01] 哎我他
[01:28:09] 好了反正这个
[01:28:11] 我我其实有点不知道怎么讲就是重点写太多了
[01:28:14] 然后我已经
[01:28:15] 已经讲蛮多次了
[01:28:17] 对就是重点也太分散写写很多
[01:28:20] 然后往下
[01:28:23] 然后再往下
[01:28:26] 这个跟刚刚那个爱理雄的有点像
[01:28:28] 因为我觉得这个也是很多人的忙区
[01:28:30] 就是你可能曾经你写过这种
[01:28:33] 这种
[01:28:34] 很像是确的gbd写的烈点文
[01:28:36] 然后有很好的流量效果之后你就会
[01:28:39] 觉得说你
[01:28:40] 你暂时没有找到其他方式更好
[01:28:42] 所以你就会很执着
[01:28:44] 你一定要一直继续写这种东西
[01:28:46] 可是这种东西我觉得他有时候确实是会
[01:28:49] 打中
[01:28:50] 有八九十个站
[01:28:52] 就流量也不错
[01:28:53] 可是我觉得这个这种类型文章跟你个人的
[01:28:56] 连结度太低了
[01:28:57] 而且如果你只能够靠这种文章
[01:28:59] 获得流量的话
[01:29:00] 基本上你是很难去变现
[01:29:03] 或是你变现他只会是弹花一线
[01:29:06] 对
[01:29:07] 所以我觉得这种
[01:29:08] 就是要去
[01:29:10] 尝试去写跟你自己个人
[01:29:12] 个性跟连结度高的跟你生命经验
[01:29:14] 连结度高的文章
[01:29:16] 然后去找到怎么样的写法是会
[01:29:19] 可以写中的
[01:29:20] 这个才有办法真的是让他
[01:29:22] 跟你的品牌的强度可以确实的去提升
[01:29:27] 嗯下一个
[01:29:35] 嗯
[01:29:39] 就是他这个写的好像本来就蛮好的
[01:29:42] 对吗
[01:29:43] 现在
[01:29:44] 对
[01:29:45] 就是他有时候写的这种no選的
[01:29:50] 文章本来就有一定的流量
[01:29:51] 但是他也是一个问题
[01:29:53] 就是同样一个问题
[01:29:54] 就是他没有海军的元素过少
[01:29:56] 所以就会很像是工具
[01:29:59] 很像是工具账号啊
[01:30:00] 所以大家可能
[01:30:02] 如果你真的整理出一个非常实用的工具
[01:30:05] 可能会有人想买
[01:30:06] 但是如果你没有达到那个
[01:30:08] 那个强度的话可能就很难去变现
[01:30:11] 因为很多很多人在竞争嘛
[01:30:12] 那你要竞争的过所有在做no選的人的话
[01:30:15] 那你真的是要很认真很辛苦
[01:30:18] 对
[01:30:18] 我就觉得这个也是一个方式
[01:30:20] 但是就是给你们参考一下
[01:30:23] 下一个
[01:30:26] 好那个课程后续的公告
[01:30:29] 这个小米是不是要来
[01:30:30] 对这我来跟大家分享
[01:30:32] 刚好时间到
[01:30:34] 对那刚刚其实是公分享了非常多
[01:30:39] 差点要自己按掌分
[01:30:41] 对那是公绩非常非常多
[01:30:43] 都是实际案例嘛
[01:30:44] 因为特拯也是
[01:30:45] 哎上个月才上线
[01:30:47] 12月21号
[01:30:48] 对对到现在
[01:30:50] 其实你可以看到
[01:30:51] 蛮多学员都蛮好的成绩
[01:30:53] 那今天大概有不少学员有到现场
[01:30:56] 那现在要讲就是哎
[01:30:58] 如果这个课你就结束了话还有什么
[01:31:01] 好就看一下下一张
[01:31:04] 好接下来就是税的精英陪跑营
[01:31:07] 有看到掌声啊
[01:31:08] 可以可以走
[01:31:10] 所以如果你想要
[01:31:11] 在
[01:31:12] 精英税上面可以得到更多的
[01:31:15] 协助
[01:31:16] 好刚刚提到吗
[01:31:17] 刚刚很多非常值得提到
[01:31:19] 陪跑这件事情是很重要
[01:31:21] 有时候你自己做
[01:31:22] 你自己看内容做
[01:31:24] 你可以回去困难或是缺乏一些动力
[01:31:26] 哎但是但是这时候如果有一些小伙伴
[01:31:29] 加入你一起做的话
[01:31:31] 哎其实蛮不错的
[01:31:32] 那
[01:31:33] 如果你对刚刚讲内容有兴趣
[01:31:36] 就可以扫一下这条口
[01:31:38] 可以获得更多的资讯啊
[01:31:39] 不是进去就要付钱了不是
[01:31:41] 对可以先进去了解一下
[01:31:43] 对欢迎大家可以扫一下
[01:31:45] 就是接下来精英陪跑营的内容
[01:31:49] 好
[01:31:50] 但我们需要扫一下还没扫到的
[01:31:53] 再给大家一点点时间
[01:31:54] 可以看到有些拿出手机来了
[01:31:58] 可以扫一下可以扫一下
[01:32:01] 好那如果来不及扫的话
[01:32:03] 我们等下是在那个群众里面
[01:32:04] 你可以再把这个截图给大家
