[00:00] 能量清理一有
[01:19:03] 子維斗樹好運顯化顧問
[01:19:05] 你覺得哇靠
[01:19:07] 你看到你會覺得
[01:19:09] 這個名稱很讚
[01:19:10] 然後你會
[01:19:11] 你會一聽就會有感覺的人有嗎
[01:19:14] 有的大家有好不好
[01:19:15] 有的大家有問一下有沒有啊
[01:19:17] 有沒有人一聽就會覺得
[01:19:19] 哎這個我有感覺耶
[01:19:21] michael說有
[01:19:22] 哎像我自己覺得這個名稱
[01:19:24] 我很喜歡好運顯化
[01:19:26] 就好像是去找他就會有好運有沒有
[01:19:29] 肉有其其有好
[01:19:31] 所以canny有對
[01:19:33] livia有對不對
[01:19:35] 你們有沒有一看到這個
[01:19:36] 所以來我問你們
[01:19:38] 你覺得他的定位有沒有清晰
[01:19:40] 有沒有打中你
[01:19:42] 你覺得他的定位有沒有清晰
[01:19:44] 有沒有打中他的族群
[01:19:47] 有的繼續打有
[01:19:49] 你有沒有覺得他的族群是有
[01:19:51] 只要想要好運的人
[01:19:53] 只要想要顯化的人
[01:19:55] 是不是就會想要找他
[01:19:58] 這個然後
[01:19:59] 然後找他是用什麼呢
[01:20:01] 你一看就知道
[01:20:02] 那個子維斗樹有沒有
[01:20:04] 就是他用子維斗樹來幫助你做好運
[01:20:07] 做顯化
[01:20:08] 然後姿意姿意說喜歡你的第三個小白
[01:20:11] 就是陪你一起找回人生方向
[01:20:13] 就是一二三四
[01:20:14] 應該是陪你看見那些你找
[01:20:17] 你以為找就沒就
[01:20:18] 其實只是在等你被理解的地方
[01:20:21] 對不對
[01:20:23] 好
[01:20:23] 這就是我們U卡
[01:20:24] 他你快要大家看一下
[01:20:26] 很重要的一個點
[01:20:27] 我跟大家說明
[01:20:29] 你知道嗎
[01:20:30] 在一個你的
[01:20:31] 我們這個叫做是成交式的官網
[01:20:34] 什麼意思
[01:20:35] 成交式官網有幾個重點
[01:20:37] 我先跟大家講一個最重要的
[01:20:38] 就是你的封面
[01:20:40] 你的封面要有感覺
[01:20:42] 所以大家看一下
[01:20:43] U卡的封面有沒有吸引人
[01:20:45] 有沒有吸引你
[01:20:46] 你就打有或沒有就好
[01:20:47] 你直接講沒關係哦
[01:20:49] 你覺得有吸引你的
[01:20:51] 你就打個有哦
[01:20:53] 大家直接講沒關係哦
[01:20:55] 我們都透明的哦
[01:20:56] 然後你就
[01:20:56] 你覺得他的封面有吸引你
[01:20:58] 你覺得他的定位名稱有吸引你的
[01:21:01] 你就是打有就對了
[01:21:03] 沒有就打沒有
[01:21:04] 好
[01:21:05] 我們繼續往下看哦
[01:21:07] 然後來你看哦
[01:21:08] 這個這個就是我們的
[01:21:10] 他這個文章是有一個結構的哦
[01:21:13] 這幾年大家都很辛苦
[01:21:14] 然後你可能覺得你自己很努力
[01:21:16] 但人生好像沒有因此變得比較順
[01:21:18] 甚至懷疑是不是我天生就比較衰
[01:21:21] 是不是我不值得好更好生活
[01:21:24] 然後所以呢他可能就把他的目標族群的狀況
[01:21:28] 比較衰嘛
[01:21:29] 所以才需要好運嘛對不對
[01:21:31] 他是在講了他目標族群的狀況
[01:21:33] 然後呢
[01:21:35] 我就不全部念了好
[01:21:36] 那
[01:21:37] 哦
[01:21:38] 然後不
[01:21:39] 然後呢你看哦
[01:21:41] 他不直接去這樣子講
[01:21:43] 然後你看哦
[01:21:44] 他就不斷不斷告訴你說
[01:21:45] 因為他做指維斗術嘛
[01:21:47] 所以他說我會用命盤
[01:21:48] 你的命盤整理給你
[01:21:50] 第一第二第三你卡住的核心原因是什麼
[01:21:53] 接下來一年的關鍵轉折
[01:21:55] 你可以先做的一到兩個步驟
[01:21:57] 好
[01:21:58] 然後如果你要想要深入我會這樣陪你
[01:22:01] 限量一九九
[01:22:03] 一百九十有限量體驗諮詢
[01:22:05] 請問我請問各位
[01:22:08] 你覺得這個費用
[01:22:10] 然後他要做的事情
[01:22:11] 要是你你會想報名的
[01:22:13] 採一百九十九
[01:22:14] 然後你看完這整個內容
[01:22:16] 要是你你會報名的案一
[01:22:18] 不會
[01:22:19] 不會就不用按哦
[01:22:20] 你會報名的叫案一
[01:22:22] 我看一下會想報名的
[01:22:24] michel
[01:22:24] 顏余
[01:22:26] 一百九十九你覺得好不好
[01:22:28] 這個到了第三天
[01:22:29] 我會給你們拆解為什麼是這麼做
[01:22:32] 量量一k你一好
[01:22:34] 那個起起一好
[01:22:36] 我跟各位說
[01:22:38] 我跟各位說
[01:22:39] you sir一好
[01:22:41] 那個
[01:22:42] 可不可以請那個什麼
[01:22:44] 我告訴你們
[01:22:45] 真的我們的體驗價就是一九九
[01:22:47] 而且這個是
[01:22:48] 我會告訴
[01:22:50] 呃我會讓
[01:22:51] you卡在做一個很特別的事情哦
[01:22:53] you卡呢
[01:22:54] 不只還一九九
[01:22:56] 就是真的是一九九體驗價哦
[01:22:59] 然後一九九的體驗價裡面呢
[01:23:02] 他還會針對今天有來
[01:23:04] 就是有來我們的直播的同學
[01:23:06] 有來sally直播的人
[01:23:08] 他還會特別送你們什麼
[01:23:10] you卡你自己說
[01:23:11] 我要送你們
[01:23:13] 二零二六剛開始
[01:23:14] 是不是要來點
[01:23:16] 開運調皮呢
[01:23:18] 嗯開運調皮
[01:23:20] 哈哈
[01:23:20] 是不是需要啊
[01:23:22] 什麼需要
[01:23:22] 現在我打藥好不好
[01:23:24] 需要
[01:23:24] 要不要開運調皮
[01:23:27] 對啊我們都會選藥
[01:23:29] 大家是不是要
[01:23:30] 就是要
[01:23:31] Zoya藥
[01:23:32] 然後Zoe要
[01:23:34] 亮亮當然要誰不要我也要
[01:23:37] 我也要啊要把我一起加進去哦
[01:23:40] 他他聽到
[01:23:41] 拍
[01:23:42] 聽到裁員是不是就會想要學廟裡補採庫
[01:23:45] 但我覺得我們來點不一樣的
[01:23:47] 我們來幫自己灌金錢零氣
[01:23:49] 好不好啊
[01:23:51] 對
[01:23:51] 金錢零氣
[01:23:55] 啊
[01:23:57] 哎我覺得金錢零氣很好哎
[01:23:58] 所以如果
[01:24:00] 就是只有今天就是
[01:24:01] you卡因為他是我們的
[01:24:03] 就是成功學員哦
[01:24:05] 然後他也很否行
[01:24:06] 今天就是如果啦
[01:24:07] 那個今天你們剛
[01:24:09] 你們有聽到
[01:24:10] 而且你們願意去體驗他的方案
[01:24:13] 199的
[01:24:14] 然後你們就可以直接
[01:24:17] 得到他會給你們金錢零氣
[01:24:19] 這額外的哦那是額外就是沒有來我們
[01:24:23] 就是不是
[01:24:24] sally直播的就不會得到
[01:24:26] 是sally直播的才有哦
[01:24:28] 那you卡你方便再把你剛那個連結再發一次嗎
[01:24:32] 哦再發一次
[01:24:34] 貼一次
[01:24:35] 然後我要跟大家講
[01:24:37] you卡就是把他的整體系統做好了
[01:24:40] 我們再看一次他官網好不好
[01:24:42] 我們就因為
[01:24:43] 最讓我們的學員很多
[01:24:45] 但是我今天特別先看他的就好
[01:24:47] 因為額
[01:24:49] 等一下哦
[01:24:49] 大家有看到畫面嗎
[01:24:52] 好像沒有
[01:24:55] 我再看一下
[01:24:56] 好
[01:24:57] 然後你們可以去加他的官網
[01:25:01] 然後你在他的官網裡面
[01:25:03] 留言sally直播就好了
[01:25:05] 你們去留言sally直播
[01:25:08] 然後他就會知道除了
[01:25:10] 那個你要報名199方案之外
[01:25:13] 他還會送你
[01:25:15] 那個氣開零氣好不好
[01:25:17] 開運零氣送給你哦
[01:25:19] 所以只有你們才有
[01:25:21] 如果你們要
[01:25:23] 這個的話
[01:25:23] 那同時我來跟你們拆解一下
[01:25:27] 就是這是我們的
[01:25:28] 其中一個學員的成果
[01:25:30] 那你大家看一下哦
[01:25:31] 這一頁是他的什麼
[01:25:33] 是他的
[01:25:34] 限量體驗之一
[01:25:35] 這限量的哦
[01:25:36] 沒有就沒有了哦
[01:25:37] 每個月他都有一定的數量的
[01:25:40] 他也沒有辦法
[01:25:41] 要是要是一個月有50個人
[01:25:43] 100個人都找他199
[01:25:45] 他瘋了對不對
[01:25:46] 這太多了
[01:25:47] 維持
[01:25:48] 瘋貧值
[01:25:49] 對要維持品質
[01:25:51] 所以他沒有辦法給到那麼多哦
[01:25:53] 可能就
[01:25:54] 可能一個月可能就大概
[01:25:56] 5到10個吧
[01:25:57] 我覺得他的限量不能太多哦
[01:26:00] 那我們再看一下哦
[01:26:01] 大家看一下這是有一個結構的
[01:26:03] 我們裡面寫的官網
[01:26:05] 我們在做什麼
[01:26:06] 他在寫了他的服務方案
[01:26:09] 但是呢他的服務方案裡面呢
[01:26:12] 他是在告訴你
[01:26:13] 你的痛點是什麼
[01:26:15] 對不對
[01:26:15] 你可能有什麼樣的痛點
[01:26:17] 那我可以支持你什麼啊
[01:26:19] 自威斗術
[01:26:20] 然後我怎麼支持你
[01:26:22] 哦
[01:26:22] 然後你你不用准
[01:26:23] 然後我支持你的方式
[01:26:25] 是我告訴你你的狀況
[01:26:27] 然後呢
[01:26:28] 如果還要再更深
[01:26:29] 如果可以怎麼陪著你調整
[01:26:31] 你的部分
[01:26:32] 然後
[01:26:33] 嗯
[01:26:33] 然後限量諮詢是過程中
[01:26:35] 有什麼問題都可以問
[01:26:36] 他會陪著你拆解
[01:26:37] 然後找出你人生迷茫的地方
[01:26:40] 然後怎麼陪你活成
[01:26:41] 你要的樣子有沒有
[01:26:43] 好
[01:26:43] 然後呢
[01:26:44] 然後當然
[01:26:44] yuka也幫助
[01:26:45] 也告訴你
[01:26:46] 他摸索出真正幫助別人的方法
[01:26:48] 每個月有超過50個客人找他
[01:26:51] 所以他很忙的哦
[01:26:52] 好不好
[01:26:53] 各位那個把握機會
[01:26:54] 就一九九很少很少量哦
[01:26:56] 然後他可以怎麼協助你呢
[01:26:59] 和子維斗術啦
[01:27:00] 情感啊這些東西
[01:27:01] 他有他的方法
[01:27:02] 哦
[01:27:03] 然後他有很多很多客戶好評
[01:27:05] 所以你看
[01:27:06] 我大家我問你們哦
[01:27:08] 為什麼我們要說有一個系統很重要
[01:27:10] 你看哦
[01:27:11] 你有一個系統之後
[01:27:12] 你覺得幫助是什麼
[01:27:14] 幫助是如果你要跟人家介紹
[01:27:17] 你自己的時候
[01:27:19] 你是不是有一個
[01:27:21] 漂漂亮亮的清清楚楚的
[01:27:23] 呃
[01:27:24] 就是
[01:27:25] 關
[01:27:25] 就是清清楚楚的一個官網
[01:27:27] 他在前台讓大家看到說
[01:27:30] 哦
[01:27:30] 原來是很專業的
[01:27:32] 好
[01:27:32] 那我問你們一個問題
[01:27:34] 我問你們一個問題哦
[01:27:35] 你們不論你現在是全職
[01:27:37] 或是第二收入的
[01:27:39] 我就問你一個問題就好了
[01:27:42] 你看到房間
[01:27:44] 你看到房間
[01:27:45] 有這種哦
[01:27:46] vivy等一下我問你
[01:27:47] 我回答你的問題
[01:27:48] 我等一下回問了這個非常好的問題哦
[01:27:51] 你看到房間有這種官網的人
[01:27:55] 你看到房間有這種的
[01:27:57] 你有沒有身心靈
[01:27:58] 身心靈領域的
[01:28:00] 你覺得都還是少
[01:28:03] 你覺得多還是少
[01:28:05] 回答我
[01:28:06] 你覺得多還是少
[01:28:10] 你先回答我這個問題
[01:28:11] 你覺得多還是有
[01:28:13] 米歇爾說有看過
[01:28:14] 然後齊齊說少
[01:28:16] 比如你知道全台灣有多少身心靈
[01:28:19] 就是從業者嗎
[01:28:20] 三萬兩千人
[01:28:22] 這是經過數據介紹的哦
[01:28:24] 然後那個經過數據介紹的
[01:28:27] 哎yuka謝謝你
[01:28:28] 然後後面等一下有機會
[01:28:30] 我們再看看要不要來找你分享
[01:28:32] 好的
[01:28:33] 好
[01:28:34] 然後呢
[01:28:35] 我問一下各位哦
[01:28:36] 有比較少對不對
[01:28:38] 全台灣
[01:28:40] 有
[01:28:40] 有自己官網的
[01:28:43] 身心靈從業者
[01:28:44] 或不論你是全職
[01:28:46] 或第二收入都一樣
[01:28:48] 有建立所謂的官網
[01:28:50] 已經很少了對不對
[01:28:52] 那我再問一個問題哦
[01:28:53] 已經很少的情況下
[01:28:56] 然後有建立像我們這種是
[01:28:58] 成交式的官網是不是更更少了
[01:29:02] 是不是更更少了
[01:29:04] 在少中之少對不對
[01:29:06] 那傳統官網的可能有一些些人
[01:29:09] 不多有一些些
[01:29:10] 那如果是這種成交式的
[01:29:13] 而且還做的漂漂亮亮的
[01:29:15] 讓你越看越有興趣的
[01:29:17] 是不是比較少不多
[01:29:19] 好所以我要講的是什麼你知道嗎
[01:29:22] 所以呃成交式的官網非常重要
[01:29:27] 成交式的官網很重要
[01:29:28] 那我給大家看一下
[01:29:30] 就剛剛其實我們剛剛只有介紹U卡
[01:29:33] 然後之後我可能有機會
[01:29:35] 我再來介紹其他我們的學員成果
[01:29:37] 其實不只這四個還有更多
[01:29:39] 只是我沒有辦法一次
[01:29:40] PO出去那麼多
[01:29:42] 好
[01:29:42] 然後呃所以呢
[01:29:44] 你就會發現哎
[01:29:45] 能夠做到成交式官網的人
[01:29:48] 真的是少之又少
[01:29:49] 那代表什麼事情
[01:29:51] 代表什麼
[01:29:52] 我問你們代表什麼
[01:29:54] 我問你哦
[01:29:55] 你們剛剛是不是告訴我
[01:29:57] 呃可能有些人全職在做什麼
[01:29:59] 比方希塔遼遇老師
[01:30:01] 我就舉希塔遼遇的例子
[01:30:03] 如果你是希塔遼遇師
[01:30:06] 請問希塔遼遇師有
[01:30:08] 有做那個
[01:30:10] 官網的很少對吧
[01:30:12] 有做成交式官網的
[01:30:15] 然後幾乎幾乎沒有
[01:30:17] 你們可以聽懂我的意思嗎
[01:30:19] 有聽懂我的意思嗎
[01:30:21] 有懂的打懂
[01:30:22] 也就是說如果你現在有做
[01:30:24] 那是不是你比你的同業
[01:30:27] 你比別人的亮點更容易突出
[01:30:30] 是不是
[01:30:31] 好
[01:30:32] 你們都有懂對不對
[01:30:33] 你的亮點比別人更容易突出為什麼
[01:30:36] 第一個你不用再多費純蛇了
[01:30:39] 因為你有你
[01:30:40] 人家要了解你
[01:30:41] 很簡單丟個連結
[01:30:43] 直接看懂你在做什麼
[01:30:45] 直接知道你是誰對不對
[01:30:47] 像剛剛那個呃
[01:30:49] 我們在剛剛
[01:30:51] 剛剛我們的
[01:30:53] 同學再舉一下
[01:30:54] 呃呃呃這是我們的學員成果強啦
[01:30:57] 我有做了一個成果強我們找
[01:30:59] you card
[01:31:02] 好
[01:31:03] 剛剛我們同學你看哦
[01:31:04] 他這個是他的那個
[01:31:06] 個案那個那個體驗體驗業
[01:31:10] 體驗資訊業那是不是
[01:31:11] 你也可以去看他另外這個頁面
[01:31:14] 就是關於他是誰
[01:31:15] 然後他的故事在這裡面就有了哦
[01:31:18] 齁將新城的智慧化成日常的光
[01:31:20] 他的使命是讓命理不在
[01:31:22] 只是高層莫測的預言
[01:31:24] 而是能夠落地與生活成為
[01:31:25] 陪伴你成長的指南
[01:31:27] 然後接著這裡面就是
[01:31:29] 他是怎麼成長的
[01:31:31] 怎麼他把他的歷程
[01:31:33] 真實的歷程寫進來
[01:31:35] 好那是不是我們在看到這個人的官網
[01:31:39] 第一個我先認識這個人是誰
[01:31:41] 我是很容易就認識了
[01:31:42] 對不對
[01:31:43] 那我很容易認識到他之後
[01:31:46] 哎他又有一個只有199的方案呢
[01:31:49] 我看了很認同他
[01:31:50] 而且哦原來你是這樣開始學這些東西的
[01:31:53] 原來你學了這些東西這些東西
[01:31:55] 怎麼支持你的啊
[01:31:57] 對不對
[01:31:57] 你看到了這些之後
[01:31:59] 你是不是對他好像有更貼近的感覺了
[01:32:02] 然後更貼近之後呢
[01:32:03] 你就願意支付這199塊
[01:32:06] 因為也沒有多少錢
[01:32:08] 然後你就願意找他預約了
[01:32:10] 對不對
[01:32:10] 然後又看到這一段
[01:32:12] 對不對
[01:32:12] 到這裡為止都有理解我說
[01:32:14] 所以是不是有
[01:32:15] 那你有一個這種成交式的官網
[01:32:18] 是不是就很重要了
[01:32:20] 有懂嗎
[01:32:21] 有理解我在講什麼嗎
[01:32:23] 有懂的幫我打個懂好不好
[01:32:25] 有懂的幫我打個懂
[01:32:27] 到目前為止就聽懂
[01:32:30] 有理解我的
[01:32:32] 大家有跟上哦有哦好
[01:32:33] 哦我繼續了我繼續了
[01:32:35] 那你看哦
[01:32:36] 各位同學我根本講一個很開心的事情哦
[01:32:39] 就是我有訓練機器人知道嗎
[01:32:41] 我訓練了七個ai機器人
[01:32:44] 哇靠
[01:32:44] 不要訓練
[01:32:45] 訓練ai機器不是只是教你用ai不一樣哦
[01:32:49] 教你用ai跟訓練ai機器人是不一樣的
[01:32:54] 是不一樣的東西好
[01:32:56] 那如果呢
[01:32:58] 呃你們用好
[01:32:59] 有一個訓練好的機器人的差別在哪裡
[01:33:02] 比方說大家看左邊
[01:33:04] 要做好成交式的官網
[01:33:06] 的確他是需要花點時間的
[01:33:10] 那我跟各位介紹說明一下
[01:33:12] 以前早期
[01:33:13] 你要把一個官網做好
[01:33:16] 光是只是
[01:33:17] 呃傳統型的官網
[01:33:19] 他就蠻花時間的
[01:33:21] 為什麼很多人做不了官網你們知道嗎
[01:33:24] 因為
[01:33:25] 他們不會做
[01:33:27] 不知道要給什麼很痛苦
[01:33:29] 然後要寫什麼呢
[01:33:30] 所以就卡住了
[01:33:32] 所以就做不出來這是常見狀況
[01:33:35] 好所以都不會寫貼文了
[01:33:37] 何況你要叫我寫一個專業的官網
[01:33:39] 你殺了我吧
[01:33:40] 說實話哦
[01:33:41] 所以很多很多人沒有這個東西
[01:33:44] 但是為什麼我們今天有這個東西呢
[01:33:47] 是因為然後我們怎麼
[01:33:48] 就是帶著我們的
[01:33:50] 呃學員做呢
[01:33:51] 是因為我設計了四個機器人
[01:33:53] 在光是為了這個成交式的官網
[01:33:56] 然後呢以前
[01:33:58] 如果你們去外面
[01:33:59] 找人家幫你做官網
[01:34:01] 大概一般來說
[01:34:02] 大概是需要兩三個月的時間
[01:34:05] 他才能幫你們做好
[01:34:07] 再你相信嗎
[01:34:08] 在我們的體系裡呢
[01:34:11] 呃因為我已經訓練機器人了
[01:34:13] 然後
[01:34:14] 因為訓練好之後呢
[01:34:15] 每個人都可以在一天的時間
[01:34:18] 把他所有這些
[01:34:19] 就是盡量在一天的時間
[01:34:21] 一天到兩天最多吧
[01:34:22] 就可以把所有的內容都生出來了
[01:34:25] 你覺得好不好
[01:34:26] 就是你的內容全部都生出來了
[01:34:28] 你覺得這個很好的嗎
[01:34:30] 很好的幫我打個好
[01:34:32] 幫我打個好
[01:34:36] 你需要說很好
[01:34:37] 如果你在一天就可以做好
[01:34:38] 以前這對很多人來說是很痛苦的哦
[01:34:42] 但是現在竟然
[01:34:43] 竟然可以在一到兩天的時間內就做好了
[01:34:46] 然後做好就是做好內容哦
[01:34:49] 還沒有做好剛剛那樣漂漂亮亮的東西
[01:34:51] 那但是如果未來有人幫你
[01:34:54] 都把它變得漂漂亮亮
[01:34:56] 你覺得好不好
[01:34:57] 如果你覺得好可以繼續打個好
[01:34:59] 那我除了訓練就是
[01:35:00] 呃這個ai成交式官網機器人
[01:35:02] 其實我還有訓練高共鳴的貼文哦
[01:35:05] 然後我訓練的三個
[01:35:07] 然後這三個明天明天來體驗一下好不好
[01:35:10] 你有人想體驗嗎
[01:35:12] 我給你三兩二到三分鐘
[01:35:15] 然後你就可以寫出一個貼文
[01:35:17] 而且是一個高共鳴的貼文
[01:35:19] 不是罐頭貼文哦
[01:35:21] 不是罐頭貼文
[01:35:22] 我對罐頭貼文沒有興趣哦
[01:35:25] 就是想哦明天哦明天
[01:35:26] 明天一定要來
[01:35:27] 因為明天真的是超級重要的
[01:35:30] 超級重要的哦
[01:35:31] 然後來跟大家講一下
[01:35:34] 你想象一下哦
[01:35:35] 如果你有一套自動化的系統
[01:35:38] 可以把你的專業清楚的說出來
[01:35:40] 可以累積你的專業你的信任
[01:35:43] 然後讓你的課程或服務
[01:35:45] 可以成為一個長期運作的模式
[01:35:48] 你想不想知道
[01:35:49] 他是怎麼做到的想的打響
[01:35:53] 你想不想知道他可以怎麼做到
[01:35:56] 想的幫我打響
[01:35:57] 哦missure想zoya想
[01:35:59] 然後姿意想亮亮想
[01:36:02] 好youse想你想知道哦
[01:36:05] 好問一下哦
[01:36:06] 如果呢這套系統
[01:36:08] 他可以幫助你整合好一個引流
[01:36:11] 然後可以帶著你做到成交交付
[01:36:14] 可以幫你去
[01:36:15] 賣五到十年的安心收入系統
[01:36:19] 你覺得好不好
[01:36:20] 你會不會想要擁有這套系統
[01:36:22] 那為什麼我會說五到十年
[01:36:24] 不是亂講的哦
[01:36:26] 如果這個系統
[01:36:28] 他可以讓你經營更省力更省時
[01:36:31] 如果他可以幫你的收入變得更穩定
[01:36:34] 你是可預期你的收入
[01:36:36] 你的收入不會上上下下有沒有
[01:36:38] 但很多人收入都是上上下下
[01:36:40] 沒有身心老實都是這樣很正常
[01:36:43] 我們幾乎習慣正常
[01:36:46] 習慣了收入上上下下
[01:36:48] 每個月心情都上上下下有沒有啊
[01:36:50] 有沒有這樣的人啊
[01:36:52] 但是如果這套系統
[01:36:54] 可以讓你賣五到十年
[01:36:56] 然後你甚至讓你的收入穩定
[01:36:58] 穩定之下你還可以放大
[01:37:02] 甚至數倍的收入
[01:37:04] 你會不會想擁有這個系統
[01:37:06] 我不是亂講的我不是亂講的哦
[01:37:09] 我為什麼我為什麼敢跟你說五到十年
[01:37:12] 我跟你們講一下為什麼好不好
[01:37:14] 請問
[01:37:16] 請問你有聽過靈氣嗎
[01:37:18] 有的大家有
[01:37:19] 有聽過靈氣的大家有
[01:37:22] 有聽過靈氣的大家有
[01:37:23] Summer說有User有好Zoya有來
[01:37:25] 我問你們一個事情靈氣有多少年了
[01:37:29] 我問你們你覺得靈氣有多少年了
[01:37:32] Leave that you
[01:37:34] 可以你有來我問你們靈氣多少年了
[01:37:38] 你聽過靈氣有多少年
[01:37:40] 有人說五十年
[01:37:42] 多少年你們知道嗎
[01:37:44] 我告訴你們靈氣有多少年歷史好不好
[01:37:47] 靈氣有上百年歷史
[01:37:50] 好然後以前我非常喜歡的一個課程
[01:37:54] 叫做光的課程
[01:37:55] 光的課程你們知道多少年嗎
[01:37:57] 有五十年的歷史
[01:38:00] 那然後西塔療癒我現在告訴西塔療癒
[01:38:04] 很多東西我問你
[01:38:06] 降旗展譜上百年歷史
[01:38:09] 數百年數百年
[01:38:11] 好然後來我問你們
[01:38:13] 這些東西
[01:38:15] 他們在沒有系統的情況下都賣了這麼久了
[01:38:19] 請問如果你有一套系統
[01:38:22] 你不能你的身心靈的這個技能
[01:38:25] 你不能賣五到十年嗎
[01:38:27] 你不覺得老實說
[01:38:29] 我都說少了嗎
[01:38:31] 你有你覺得可以賣五到十年甚至更多的
[01:38:35] 幫我打個888
[01:38:36] 幫我刷一排888好不好
[01:38:38] 你覺得你現在會的這個東西
[01:38:41] 他真的可以賣更長時間啊
[01:38:44] Syne Kenny Yousuf你看全部是不是屋頂也是
[01:38:48] 你沒有覺得我講得對嗎對不對
[01:38:51] 他就而且其實是可以更久的
[01:38:54] 但是你們沒有一套系統就造成一件事情
[01:38:58] 你們總是反覆的
[01:39:00] 因為沒有一個SOP
[01:39:02] 沒有一套系統
[01:39:03] 沒有整合好
[01:39:04] 代表一件事情
[01:39:05] 你的東西他一直沒有很好的被人家看見
[01:39:10] 同意嗎
[01:39:11] 同意的按加一
[01:39:13] 同意的按加一
[01:39:15] 如果你同意我說的按加一
[01:39:17] 因為你沒有很好的被看到
[01:39:20] 對吧
[01:39:20] 沒有很好被看到
[01:39:21] 所以你們就以為
[01:39:24] 你們的東西可能不好賣啦
[01:39:27] 好多人都知道現在身心也好競爭啊
[01:39:30] 錯錯錯
[01:39:31] 因為你們根本沒有系統
[01:39:33] 而且你們不知道有一個系統
[01:39:35] 對你的幫助可以有多大
[01:39:38] 如果你善用這個系統
[01:39:40] 就像剛剛我們的U卡
[01:39:42] 如果U卡那個連結一發上來
[01:39:45] 請問他還要跟你廢口舌嗎
[01:39:47] 然後你們就自動默默的去看那個內容
[01:39:50] 哇他的故事真打動我
[01:39:52] 而且都是一定要真的哦
[01:39:54] 我們都不寫假的哦
[01:39:56] 在我的學生
[01:39:57] 所有我的學生我們會耳提面命
[01:40:00] 絕對不可以寫假案例哦
[01:40:03] 我們不不不幹這種事好嗎
[01:40:05] 我們絕對不可以幹這種事
[01:40:07] 那如果你是剛接觸
[01:40:09] 但是你需要案例的
[01:40:10] 我會教你們怎麼做
[01:40:12] 但是絕對不可以寫假的
[01:40:14] 我先說一下哦
[01:40:16] 好那如果你覺得這個系統很重要
[01:40:19] 來現在仔細聽我說
[01:40:21] 那這套系統他整個流程
[01:40:23] 我告訴你好不好整個流程
[01:40:25] 你們想知道他的整個流程是什麼概念嗎
[01:40:28] 剛剛只是簡單的介紹
[01:40:29] 你要知道整個流程概念的大概
[01:40:32] 想
[01:40:33] 你要知道大概想
[01:40:38] 想好
[01:40:40] 來告訴你
[01:40:41] 很多人想哦對不對
[01:40:42] 好來告訴你這就是我們的成交
[01:40:45] 自動化成交系統流程來重點來了
[01:40:48] 大家有左而右跟著我的節奏
[01:40:51] 第一個你要先定位好
[01:40:53] 大家有沒有看到剛剛U卡的例子
[01:40:55] U卡是不是把自己定位的很好
[01:40:58] 他就是一個
[01:40:59] 那個顯化他寫了一個顯化好運
[01:41:04] 所以他很清晰的讓你們知道
[01:41:07] 他就是顯化好運顧問
[01:41:09] 所以如果哇你就會想像哇
[01:41:11] 我也想顯化我也想好運
[01:41:13] 然後你你是不是一個定位一定好了
[01:41:16] 你有沒有覺得他定位讓人家很喜悅
[01:41:19] 有沒有喜悅感
[01:41:20] 有沒有想靠近他的感覺
[01:41:22] 對不對因為他的定位讓你覺得好
[01:41:24] 所以第一個很重要的事情是什麼定位
[01:41:27] 我們的那個定位這個東西
[01:41:28] 明天會講更多
[01:41:29] 所以這是一個還有你能力的積累
[01:41:31] 這就是你的大地基
[01:41:33] 好那明天會講更多一點
[01:41:35] 然後再來呢
[01:41:35] 你要打造一個質感的社群跟網站
[01:41:39] 那就像剛剛U卡
[01:41:40] 質感的社群還沒講
[01:41:42] 還沒有特別講哦
[01:41:43] 明天會講
[01:41:44] 然後剛剛是講網站的部分對不對
[01:41:47] 然後這個就是你要打造出
[01:41:49] 一個你的專業感對不對
[01:41:51] 再來
[01:41:53] 我們要怎麼引流
[01:41:55] 我們前面基礎打好了接著要做什麼
[01:41:58] 你可以用文章啊短影音啊長影音啊
[01:42:00] 明天也會講清楚什麼是引流的方法
[01:42:04] 引流怎麼做引流到哪裡
[01:42:07] 那你可以引流到你的賴裡面
[01:42:08] 怎麼引流
[01:42:09] 明天會講清楚這個事情
[01:42:11] 好那你引流完了
[01:42:13] 還有什麼步驟呢
[01:42:14] 建立信任
[01:42:16] 建立信任可能就是你辦活動啊
[01:42:18] 社群經營的思慾
[01:42:19] 或者是什麼呢
[01:42:20] 好比如說像我現在去辦活動
[01:42:23] 那我也可以或者是如果我做個案
[01:42:25] 我是不是可以給你一個很便宜的
[01:42:28] 個案方案
[01:42:29] 就像剛剛U卡
[01:42:30] 超級便宜199
[01:42:33] 我今天不用買他什麼很貴的東西
[01:42:35] 他先給我體驗199
[01:42:37] 你看我去做臉
[01:42:38] 我是不是有一個做臉體驗這樣
[01:42:41] 如果我做臉
[01:42:41] 我覺得他讓我滿意的
[01:42:43] 我我可能會願意就是
[01:42:44] 嗯看看他還有什麼方案
[01:42:46] 對不對
[01:42:47] 但是我今天不確定他的方案
[01:42:49] 是不是合我啊
[01:42:50] 如果你今天叫我付好幾千塊
[01:42:52] 我我沒有想要付耶
[01:42:53] 對不對大家同意嗎
[01:42:55] 你理解我嗎
[01:42:56] 有跟上我嗎
[01:42:57] 有的話打有到第四點為止
[01:43:00] 你都有嘛對不對有跟上嗎
